AIRCRAFT NR,PART NUMBER,SERIAL NUMBER ,TSN,REMARKS
96,5130T00G01,GE-E355124,2856,CURRENTLY INSTALLED
96,5130T00G01,GE-E355130,2782,CURRENTLY INSTALLED
97,5130T00G01,GE-E355310,2844,CURRENTLY INSTALLED
97,5130T00G01,GE-E355257,2284,CURRENTLY INSTALLED
99,5130T00G01,GE-E355131,2920,CURRENTLY INSTALLED
99,5130T00G01,GE-E355132,2881,CURRENTLY INSTALLED
101,5130T00G01,GE-E355127,478,CURRENTLY INSTALLED
101,5130T00G01,GE-E355259,2893,CURRENTLY INSTALLED
105,5130T00G01,GE-E355168,2379,CURRENTLY INSTALLED
105,5130T00G01,GE-E355350,2831,CURRENTLY INSTALLED
106,5130T00G01,GE-E355357,2700,CURRENTLY INSTALLED
106,5130T00G01,GE-E941378,725,CURRENTLY INSTALLED
107,5130T00G01,GE-E355162,2648,CURRENTLY INSTALLED
107,5130T00G01,GE-E355351,2243,CURRENTLY INSTALLED
108,6071T25G01,GE-E941381,442,CURRENTLY INSTALLED
108,6071T25G01,GE-E941911,123,CURRENTLY INSTALLED
109,5130T00G01,GE-E355455,2646,CURRENTLY INSTALLED
109,5130T00G01,GE-E355453,2582,CURRENTLY INSTALLED
114,5130T00G01,GE-E355312,2571,CURRENTLY INSTALLED
114,5130T00G01,GE-E355295,2594,CURRENTLY INSTALLED
115,5130T00G01,GE-E355530,2490,CURRENTLY INSTALLED
115,5130T00G01,GE-E355531,2371,CURRENTLY INSTALLED
116,5130T00G01,GE-E-964061,3161,CURRENTLY INSTALLED
116,5130T00G01,GE-E-355577,1211,CURRENTLY INSTALLED
349,5130T00G01,GE-E941353,1233,CURRENTLY INSTALLED
349,5130T00G01,GE-E355579,529,CURRENTLY INSTALLED
350,5130T00G01,GE-E941346,1286,CURRENTLY INSTALLED
350,5130T00G01,GE-E941402,1297,CURRENTLY INSTALLED
351,5130T00G01,GE-E-374291C,2612,CURRENTLY INSTALLED
351,5130T00G01,GE-E941310,1334,CURRENTLY INSTALLED
359,5130T00G01,GE-E941455,796,CURRENTLY INSTALLED
359,5130T00G01,GE-E941459,1033,CURRENTLY INSTALLED
360,5130T00G01,GE-E941454,802,CURRENTLY INSTALLED
360,5130T00G01,GE-E941448,768,CURRENTLY INSTALLED
361,5130T00G01,GE-E941451,995,CURRENTLY INSTALLED
361,5130T00G01,GE-E941457,989,CURRENTLY INSTALLED
751,5130T00G01,GE-E941442,921,CURRENTLY INSTALLED
751,5130T00G01,GE-E941440,904,CURRENTLY INSTALLED
753,5130T00G01,GE-E941659,580,CURRENTLY INSTALLED
753,5130T00G01,GE-E941651,565,CURRENTLY INSTALLED
754,5130T00G01,GE-E941434,703,CURRENTLY INSTALLED
754,5130T00G01,GE-E941452,680,CURRENTLY INSTALLED
755,5130T00G01,GE-E941648,575,CURRENTLY INSTALLED
755,5130T00G01,GE-E941647,550,CURRENTLY INSTALLED
756,5130T00G01,GE-E941309,387,CURRENTLY INSTALLED
756,5130T00G01,GE-E941653,659,CURRENTLY INSTALLED
757,5130T00G01,GE-E941650,542,CURRENTLY INSTALLED
757,5130T00G01,GE-E941652,542,CURRENTLY INSTALLED
758,5130T00G01,GE-E941660,459,CURRENTLY INSTALLED
758,5130T00G01,GE-E941654,444,CURRENTLY INSTALLED
